# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Sep 12 15:18:02 2017
#
# COLUMN star_name:      Star Name
# COLUMN hip_name:       HIP Name
# COLUMN hd_name:        HD Name
# COLUMN gj_name:        GJ Name
# COLUMN tm_name:        2MASS Name
# COLUMN st_exocatflag:  ExoCat List Flag
# COLUMN st_coronagflag: Exo-C List Flag
# COLUMN st_starshadeflag: Exo-S List Flag
# COLUMN st_wfirstflag:  WFIRST List Flag
# COLUMN st_lbtiflag:    LBTI List Flag
# COLUMN st_rvflag:      Known RV Data
# COLUMN st_ppnum:       Number of Planets in System
# COLUMN rastr:          RA [sexagesimal]
# COLUMN dec:            Dec [sexagesimal]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_disterr1:    Distance Upper Unc. [pc]
# COLUMN st_disterr2:    Distance Lower Unc. [pc]
# COLUMN st_vmag:        V-band [mag]
# COLUMN st_vmagerr:     V-band Unc. [mag]
# COLUMN st_bmv:         B-V [mag]
# COLUMN st_bmverr:      B-V Unc. [mag]
# COLUMN st_spttype:     Spectral Type
# COLUMN st_lbol:        Stellar Bolometric Luminosity [Solar]
# COLUMN st_lbolerr:     Stellar Bolometric Luminosity Unc. [Solar]
#
rowid,star_name,hip_name,hd_name,gj_name,tm_name,st_exocatflag,st_coronagflag,st_starshadeflag,st_wfirstflag,st_lbtiflag,st_rvflag,st_ppnum,rastr,dec,decstr,st_dist,st_disterr1,st_disterr2,st_vmag,st_vmagerr,st_bmv,st_bmverr,st_spttype,st_lbol,st_lbolerr
106,HIP 36366,HIP 36366,HD 58946,GJ 274 A,2MASS J07290671+3147043 A,1,1,0,0,0,0,0,07h29m06.61s,31.784079,+31d47m02.7s,18.05,,,4.160,0.020,0.320,0.010,F0V...,5.840,0.060
107,HD 60532,HIP 36795,HD 60532,GJ 279,2MASS J07340317-2217457,1,1,0,0,0,1,2,07h34m03.21s,-22.296181,-22d17m46.3s,25.30,0.26,-0.25,4.440,0.010,0.520,0.010,F6V,9.300,0.100
108,HIP 36850 A,HIP 36850 A,HD 60179,GJ 278 A,2MASS J07343598+3153184 A,1,1,1,0,0,0,0,07h34m36.00s,31.888636,+31d53m19.1s,15.60,1.00,-0.88,1.580,0.000,0.030,0.000,A2Vm,53.930,0.170
109,HIP 37279,HIP 37279,HD 61421,GJ 280 A,2MASS J07391805+0513298 A,1,1,1,0,0,0,0,07h39m18.54s,5.227508,+05d13m39.0s,3.51,,,0.400,0.010,0.430,0.020,F5IV-V,7.120,0.040
110,HD 62509,HIP 37826,HD 62509,GJ 286,2MASS J07451891+2801340,1,1,1,0,0,1,1,07h45m19.36s,28.026310,+28d01m34.7s,10.36,,,1.160,0.000,0.990,0.010,K0IIIvar,40.950,0.050
111,HIP 37853,HIP 37853,HD 63077,GJ 288 A,2MASS J07453500-3410226,1,0,1,1,0,0,0,07h45m35.18s,-34.176551,-34d10m35.6s,15.21,0.15,-0.15,5.360,0.010,0.590,0.010,G0V,1.510,0.060
112,HIP 38382 A,HIP 38382 A,HD 64096,GJ 291 A,2MASS J07514629-1353526 A,1,0,1,0,0,0,0,07h51m46.34s,-13.897191,-13d53m49.9s,16.50,0.17,-0.16,5.160,0.000,0.600,0.010,G2V,2.110,0.060
113,HIP 38908,HIP 38908,HD 65907,GJ 294 A,2MASS J07574692-6018111,1,0,1,0,0,0,0,07h57m46.30s,-60.303361,-60d18m12.1s,16.20,,,5.580,0.020,0.570,0.010,G0V,1.360,0.060
114,HIP 39757,HIP 39757,HD 67523,,2MASS J08073264-2418154,1,1,0,0,0,0,0,08h07m32.70s,-24.304437,-24d18m16.0s,19.48,,,2.790,0.020,0.460,0.020,F2MF5IIP,24.250,0.060
115,HIP 39903,HIP 39903,HD 68456,GJ 297.1,2MASS J08090068-6118088,1,1,0,0,0,0,0,08h09m00.86s,-61.301706,-61d18m06.1s,19.98,1.05,-0.95,4.740,0.020,0.440,0.010,F5V,4.290,0.170
116,HIP 40167 A,HIP 40167 A,HD 68257,GJ 9257 A,2MASS J08121278+1738522 A,1,1,0,0,0,0,0,08h12m12.71s,17.648138,+17d38m53.3s,25.08,0.51,-0.49,5.240,0.020,0.530,0.000,G0V,4.560,0.060
117,HD 69830,HIP 40693,HD 69830,GJ 302,2MASS J08182389-1237541,1,0,1,0,0,1,3,08h18m23.78s,-12.629770,-12d37m47.2s,12.49,,,5.940,0.020,0.750,0.010,K0V,0.630,0.060
118,HIP 40702,HIP 40702,HD 71243,GJ 305,2MASS J08183157-7655108,1,1,0,0,0,0,0,08h18m31.27s,-76.919983,-76d55m11.9s,19.56,,,4.050,0.020,0.400,0.020,F5V,7.740,0.100
119,HIP 40706,HIP 40706,HD 70060,GJ 305,2MASS J08183332-3639333,1,1,0,0,0,0,0,08h18m33.39s,-36.659533,-36d39m34.3s,28.63,0.29,-0.28,4.440,0.000,0.220,0.010,A4(M)A5-A7,11.380,0.050
120,HD 70642,HIP 40952,HD 70642,GJ 304,2MASS J08212815-3942199,1,0,1,0,0,1,1,08h21m28.29s,-39.705958,-39d42m21.4s,28.07,0.28,-0.28,7.160,0.020,0.710,0.020,G8/K1(III+F/G),0.980,0.050
121,HIP 41312,HIP 41312,HD 71878,GJ 3499,2MASS J08254423-6608127,0,1,0,0,0,0,0,08h25m44.19s,-66.136887,-66d08m12.8s,33.10,0.49,-0.50,3.770,,1.130,,K1 III,,
122,HD 72659,HIP 42030,HD 72659,,2MASS J08340320-0134056,0,0,1,0,0,1,1,08h34m03.19s,-1.568217,-01d34m05.6s,51.36,2.58,-2.87,,,0.611,0.020,G0 V,,
123,HIP 42438,HIP 42438,HD 72905,GJ 311,2MASS J08391162+6501151,1,0,1,0,0,1,0,08h39m11.74s,65.020693,+65d01m14.5s,14.36,0.15,-0.14,5.630,0.000,0.620,0.000,G1.5Vb,1.030,0.050
124,HIP 42913 A,HIP 42913 A,HD 74956,GJ 321.3 A,2MASS J08444223-5442313 A,1,1,0,0,0,0,0,08h44m42.20s,-54.708568,-54d42m30.8s,24.70,0.25,-0.24,1.930,0.020,0.040,0.010,A0V,96.770,0.110
125,55 Cnc,HIP 43587,HD 75732,GJ 324 A,2MASS J08523579+2819509,1,1,1,0,0,1,5,08h52m36.13s,28.331388,+28d19m53.0s,12.34,0.12,-0.12,5.960,0.010,0.870,0.010,G8V,0.660,0.100
126,GJ 328,HIP 43790,,GJ 328,2MASS J08550761+0132472,1,0,1,0,0,1,1,08h55m07.60s,1.549046,+01d32m56.6s,19.79,0.82,-0.76,9.990,0.000,1.370,0.010,M1,0.100,0.090
127,HIP 44127,HIP 44127,HD 76644,GJ 331 A,2MASS J08591246+4802304 A,1,1,1,0,0,0,0,08h59m12.84s,48.042350,+48d02m32.5s,14.51,,,3.100,0.020,0.210,0.020,A7IV,10.180,0.060
128,HIP 44248 A,HIP 44248 A,HD 76943,GJ 332 A,2MASS J09003845+4146583 A,1,1,1,0,0,0,0,09h00m38.75s,41.783444,+41d47m00.4s,16.07,0.16,-0.16,3.970,0.020,0.440,0.020,F5V,5.610,0.070
129,HIP 44901,HIP 44901,HD 78209,GJ 3534,2MASS J09085226+5136168,1,1,0,0,0,0,0,09h08m52.39s,51.604727,+51d36m17.0s,28.82,0.29,-0.29,4.440,0.020,0.290,0.010,Am,11.380,0.100
130,HIP 45038 A,HIP 45038 A,HD 78154,GJ 335 A,2MASS J09102351+6708030 A,1,1,0,0,1,0,0,09h10m23.53s,67.134239,+67d08m03.3s,20.38,0.21,-0.20,4.800,0.000,0.490,0.010,F7IV-V,4.330,0.050
131,HIP 45170,HIP 45170,HD 79096,GJ 337 A,2MASS J09121762+1459454 A,1,0,0,1,0,0,0,09h12m17.87s,14.995441,+14d59m43.6s,20.36,0.21,-0.20,6.480,0.020,0.730,0.000,G9V,1.030,0.050
132,HIP 45238,HIP 45238,HD 80007,GJ 339.2,2MASS J09131197-6943017,0,1,0,0,0,0,0,09h13m11.98s,-69.717209,-69d43m02.0s,34.08,0.54,-0.56,1.680,,0.000,,A1 III,,
133,HIP 46509,HIP 46509,HD 81997 A,GJ 348 A,2MASS J09290891-0246083,1,1,0,0,0,0,0,09h29m08.84s,-2.768956,-02d46m08.2s,17.33,0.72,-0.67,4.590,0.010,0.410,0.020,F5V,3.720,0.110
134,HIP 46651 A,HIP 46651 A,HD 82434,GJ 351 A,2MASS J09304200-4028004 A,1,1,0,0,0,0,0,09h30m42.11s,-40.466888,-40d28m00.8s,18.81,0.19,-0.19,3.600,0.010,0.370,0.020,F2IV,10.650,0.060
135,HIP 46733,HIP 46733,HD 81937,GJ 3559,2MASS J09313170+6303427,1,1,0,0,1,0,0,09h31m31.57s,63.061795,+63d03m42.5s,23.82,,,3.640,0.020,0.360,0.020,F0IV,16.460,0.060
136,HIP 46853,HIP 46853,HD 82328,GJ 354 A,2MASS J09325151+5140384 A,1,1,1,0,0,0,0,09h32m52.33s,51.678602,+51d40m43.0s,13.48,,,3.160,0.020,0.470,0.020,F6IV,8.450,0.060
137,HIP 47080,HIP 47080,HD 82885,GJ 356 A,2MASS J09353959+3548366 A,1,1,1,0,0,0,0,09h35m40.03s,35.810767,+35d48m38.8s,11.37,,,5.390,0.020,0.770,0.000,G8IV-V,0.850,0.060
138,HIP 47592,HIP 47592,HD 84117,GJ 364,2MASS J09421443-2354563,1,1,1,0,1,1,0,09h42m14.67s,-23.916209,-23d54m58.4s,15.01,,,4.920,0.020,0.530,0.000,G0V,2.110,0.100
139,HIP 48319,HIP 48319,HD 84999,,2MASS J09505935+5902192,0,1,0,0,0,0,0,09h50m59.36s,59.038734,+59d02m19.4s,35.27,0.81,-0.85,3.810,,0.290,,F0,,
140,HIP 49081,HIP 49081,HD 86728,GJ 376,2MASS J10010072+3155262,1,0,1,0,0,1,0,10h01m01.02s,31.924715,+31d55m29.0s,15.05,,,5.370,0.020,0.670,0.020,G1V,1.470,0.100
141,HIP 49593,HIP 49593,HD 87696,GJ 378.3,2MASS J10072573+3514409,1,1,0,0,0,0,0,10h07m25.73s,35.244692,+35d14m40.9s,28.24,0.29,-0.28,4.490,0.010,0.190,0.010,A7V,10.680,0.050
142,HIP 49669,HIP 49669,HD 87901,GJ 9316 A,2MASS J10082229+1158018,1,1,0,0,0,0,0,10h08m22.46s,11.967195,+11d58m01.9s,24.31,0.25,-0.24,1.410,0.010,-0.040,0.010,B7V,215.450,0.030
143,HD 87883,HIP 49699,HD 87883,,2MASS J10084315+3414322,1,1,1,0,0,1,1,10h08m43.18s,34.242406,+34d14m32.7s,18.20,0.18,-0.18,7.550,0.020,0.990,0.020,K0,0.350,0.050
144,HIP 49908,HIP 49908,HD 88230,GJ 380,2MASS J10112218+4927153,1,0,0,0,1,0,0,10h11m23.36s,49.455464,+49d27m19.7s,4.87,,,6.600,0.020,1.340,0.020,K7.0V,0.110,0.060
145,HIP 50191,HIP 50191,HD 88955,,2MASS J10144416-4207189,0,1,0,0,0,0,0,10h14m44.15s,-42.121941,-42d07m19.0s,31.53,0.54,-0.56,3.850,,0.050,,A1 V,,
146,HD 89307,HIP 50473,HD 89307,,2MASS J10182131+1237160,0,0,1,0,0,1,1,10h18m21.29s,12.621108,+12d37m16.0s,30.88,0.92,-0.97,7.009,0.011,0.590,0.020,G0,,
147,HIP 50564,HIP 50564,HD 89449,GJ 388.1,2MASS J10194419+1928157,1,1,0,0,1,0,0,10h19m44.31s,19.471436,+19d28m17.2s,21.37,0.22,-0.21,4.780,0.020,0.450,0.010,F6IV,4.750,0.100
148,HIP 50954,HIP 50954,HD 90589,GJ 391,2MASS J10242373-7401536,1,1,1,0,0,0,0,10h24m23.74s,-74.031545,-74d01m53.6s,16.22,,,3.980,0.020,0.370,0.020,F2/3IV/V,5.620,0.060
149,HIP 51459,HIP 51459,HD 90839,GJ 395,2MASS J10303759+5558501,1,1,1,0,1,1,0,10h30m37.76s,55.980618,+55d58m50.2s,12.78,,,4.820,0.020,0.540,0.010,F8V,1.680,0.060
150,HIP 51986 A,HIP 51986 A,HD 92139,,2MASS J10371812-4813321 A,1,1,0,0,0,0,0,10h37m18.26s,-48.225616,-48d13m32.2s,26.84,0.27,-0.27,3.830,0.020,0.300,0.020,A3MF0-F2,17.250,0.060
151,HIP 52727 A,HIP 52727 A,HD 93497,,2MASS J10464619-4925128 A,0,1,0,0,0,0,0,10h46m46.18s,-49.420254,-49d25m12.9s,35.49,0.61,-0.63,2.690,,0.900,,G5 IIIA,,
152,HIP 53229,HIP 53229,HD 94264,,2MASS J10531870+3412538,1,1,0,0,0,0,0,10h53m18.64s,34.215566,+34d12m56.0s,29.09,0.29,-0.29,3.790,0.020,1.040,0.010,K0III-IV,30.730,0.060
153,HIP 53253,HIP 53253,HD 94510,GJ 404.1,2MASS J10532966-5851113,1,1,0,0,0,0,0,10h53m29.57s,-58.853265,-58d51m11.8s,29.13,,,3.780,0.000,0.950,0.010,K1III,28.480,0.050
154,47 UMa,HIP 53721,HD 95128,GJ 407,2MASS J10592802+4025485,1,1,1,0,1,1,3,10h59m28.22s,40.430123,+40d25m48.4s,14.06,,,5.030,0.020,0.610,0.020,G0V,1.710,0.100
155,HIP 53910,HIP 53910,HD 95418,GJ 9343,2MASS J11015046+5622566,1,1,0,0,1,0,0,11h01m50.39s,56.382345,+56d22m56.4s,24.45,,,2.350,0.000,0.030,0.000,A1V,74.990,0.050
156,HIP 54182,HIP 54182,HD 96097,,2MASS J11050103+0720096,1,1,0,0,0,0,0,11h05m01.23s,7.336123,+07d20m10.0s,28.99,0.29,-0.29,4.620,0.020,0.330,0.010,F2III-IVvar,9.890,0.040
157,HIP 54872,HIP 54872,HD 97603,GJ 419,2MASS J11140651+2031258,1,1,0,0,1,0,0,11h14m06.41s,20.524034,+20d31m26.5s,17.91,,,2.560,0.010,0.130,0.010,A4V,25.780,0.050
158,HIP 55642 A,HIP 55642 A,HD 99028,GJ 426.1 A,2MASS J11235546+1031459 A,1,1,0,0,0,0,0,11h23m55.37s,10.529698,+10d31m46.9s,23.67,0.48,-0.46,4.000,0.010,0.420,0.020,F2IVSB,12.080,0.110
159,HIP 55705,HIP 55705,HD 99211,,2MASS J11245298-1741025,1,1,0,0,0,0,0,11h24m52.98s,-17.684017,-17d41m02.5s,25.24,0.25,-0.25,4.070,0.020,0.220,0.010,A9V,12.300,0.100
160,HD 99492,HIP 55848,HD 99492,GJ 429 B,2MASS J11264627+0300229,1,1,0,0,0,1,1,11h26m46.70s,3.005864,+03d00m21.1s,17.96,0.56,-0.52,7.530,0.010,1.020,0.010,K2/4,0.340,0.070
161,HIP 56452,HIP 56452,HD 100623,GJ 432 A,2MASS J11342953-3249533,1,0,1,1,0,1,0,11h34m29.95s,-32.833342,-32d50m00.0s,9.56,,,5.960,0.020,0.810,0.010,K0V,0.620,0.060
162,HIP 56997,HIP 56997,HD 101501,GJ 434,2MASS J11410301+3412064,1,1,1,1,1,1,0,11h41m03.03s,34.202560,+34d12m09.2s,9.61,,,5.310,0.020,0.720,0.010,G8Vvar,0.650,0.060
163,HD 102365,HIP 57443,HD 102365,GJ 442 A,2MASS J11463107-4030013,1,1,1,1,0,1,1,11h46m32.25s,-40.501335,-40d30m04.8s,9.22,,,4.890,0.000,0.660,0.000,G3/5V,0.860,0.050
164,HIP 57632,HIP 57632,HD 102647,GJ 448,2MASS J11490366+1434197,1,1,1,0,1,0,0,11h49m03.88s,14.572337,+14d34m20.4s,11.00,0.11,-0.11,2.140,0.000,0.090,0.000,A3Vvar,14.580,0.020
165,HIP 57757,HIP 57757,HD 102870,GJ 449,2MASS J11504173+0145528,1,1,1,0,1,1,0,11h50m41.29s,1.765377,+01d45m55.4s,10.93,,,3.590,0.010,0.520,0.020,F9V,3.790,0.050
166,HIP 58001,HIP 58001,HD 103287,,2MASS J11534983+5341408,1,1,0,0,1,0,0,11h53m49.74s,53.694733,+53d41m41.0s,25.50,0.26,-0.25,2.390,0.020,0.050,0.020,A0VSB,74.950,0.070
167,HIP 58576,HIP 58576,HD 104304,GJ 454,2MASS J12004444-1026452,1,0,1,0,0,1,0,12h00m44.37s,-10.444839,-10d26m41.4s,12.76,,,5.530,0.020,0.770,0.020,G8IV,0.930,0.060
168,HIP 59072,HIP 59072,HD 105211,GJ 455.2,2MASS J12065290-6436494,1,1,0,0,0,0,0,12h06m52.85s,-64.613639,-64d36m49.1s,19.76,,,4.140,0.020,0.350,0.010,F0IV,7.120,0.060
169,HIP 59199,HIP 59199,HD 105452,GJ 455.3,2MASS J12082481-2443440,1,1,1,0,1,0,0,12h08m24.75s,-24.728780,-24d43m43.6s,14.94,,,4.020,0.010,0.330,0.020,F0IV/V,4.560,0.050
170,HD 106515 A,HIP 59743 A,HD 106515 A,GJ 9398 A,2MASS J12150658-0715263,0,1,0,0,0,1,1,12h15m06.57s,-7.257327,-07d15m26.4s,36.36,1.93,-2.16,7.971,0.014,0.822,0.025,G5,1.230,
171,HIP 59774,HIP 59774,HD 106591,GJ 459,2MASS J12152554+5701575,1,1,0,0,1,0,0,12h15m25.45s,57.032598,+57d01m57.4s,24.69,,,3.280,0.020,0.080,0.010,A3Vvar,26.090,0.060
172,HIP 60729,HIP 60729,HD 108309,GJ 9406,2MASS J12264817-4854472,1,0,0,1,0,0,0,12h26m48.71s,-48.912998,-48d54m46.8s,26.61,0.27,-0.26,6.250,0.000,0.670,0.000,G3/5V,2.020,0.030
173,HIP 60965,HIP 60965,HD 108767,,2MASS J12295187-1630552,1,1,0,0,1,0,0,12h29m51.98s,-16.515094,-16d30m54.3s,26.63,,,2.930,0.020,-0.010,0.020,B9.5V,57.790,0.060
174,HIP 61084,HIP 61084,HD 108903,GJ 470,2MASS J12310993-5706474,1,1,0,0,0,0,0,12h31m09.93s,-57.112569,-57d06m45.2s,27.15,,,1.650,0.010,1.520,0.010,M4III,878.370,0.090
175,HIP 61174,HIP 61174,HD 109085,GJ 471.2,2MASS J12320424-1611455,1,1,0,0,1,0,0,12h32m04.48s,-16.195866,-16d11m45.1s,18.28,,,4.300,0.010,0.390,0.010,F2V,5.240,0.050
176,HIP 61317,HIP 61317,HD 109358,GJ 475,2MASS J12334454+4121270,1,1,1,0,0,1,0,12h33m45.09s,41.356768,+41d21m24.4s,8.44,,,4.240,0.020,0.590,0.010,G0V,1.270,0.060
177,HIP 61941 A,HIP 61941 A,HD 110379,GJ 482 A,2MASS J12413962-0126580 A,1,1,1,0,0,0,0,12h41m40.00s,-1.449522,-01d26m58.3s,11.68,0.12,-0.12,3.440,0.020,0.360,0.020,F1V,5.280,0.060
178,HIP 62145,HIP 62145,HD 110833,GJ 483,2MASS J12441457+5145336,1,0,0,1,0,0,0,12h44m14.90s,51.759749,+51d45m35.1s,14.88,0.15,-0.15,7.010,0.020,0.940,0.010,K3V,0.380,0.050
179,HIP 62956,HIP 62956,HD 112185,,2MASS J12540170+5557349,1,1,0,0,0,0,0,12h54m01.63s,55.959843,+55d57m35.4s,25.31,0.26,-0.25,1.760,0.000,-0.020,0.000,A0p,134.690,0.050
180,HIP 63125,HIP 63125,HD 112413,,2MASS J12560168+3819059,0,1,0,0,0,0,0,12h56m01.67s,38.318378,+38d19m06.2s,33.78,1.15,-1.23,2.890,,-0.120,,A0 II-IIIp SiEuCr,,
181,HIP 63608,HIP 63608,HD 113226,,2MASS J13021059+1057329,0,1,0,0,0,0,0,13h02m10.60s,10.959150,+10d57m32.9s,31.35,0.83,-0.88,2.840,,0.940,,G8 III,,
182,HIP 63613,HIP 63613,HD 112985,,2MASS J13021624-7132554,1,1,0,0,0,0,0,13h02m15.78s,-71.548799,-71d32m55.7s,27.87,0.28,-0.28,3.600,0.020,1.190,0.020,K2III,47.110,0.110
183,HIP 64241,HIP 64241,HD 114378,GJ 501 A,2MASS J13095936+1731456 A,1,1,0,0,0,0,0,13h09m59.55s,17.529116,+17d31m44.8s,17.83,0.36,-0.35,4.320,0.010,0.460,0.010,F5V,5.060,0.060
184,HIP 64394,HIP 64394,HD 114710,GJ 502,2MASS J13115238+2752411,1,1,1,0,0,1,0,13h11m52.92s,27.876038,+27d52m33.7s,9.13,,,4.240,0.020,0.570,0.010,G0V,1.480,0.060
185,HD 114613,HIP 64408,HD 114613,GJ 501.2,2MASS J13120320-3748110,1,1,0,0,0,1,1,13h12m03.47s,-37.803136,-37d48m11.3s,20.67,0.21,-0.20,4.840,0.020,0.700,0.020,G3V,4.480,0.060
186,HIP 64583,HIP 64583,HD 114837,GJ 503 A,2MASS J13141513-5906114 A,1,1,0,0,0,0,0,13h14m15.43s,-59.102859,-59d06m10.3s,18.20,0.18,-0.18,4.910,0.020,0.470,0.020,F5V,3.130,0.060
187,61 Vir,HIP 64924,HD 115617,GJ 506,2MASS J13182443-1818387,1,1,1,0,1,1,3,13h18m24.97s,-18.308611,-18d18m31.0s,8.56,,,4.740,0.000,0.710,0.010,G5V,0.870,0.100
188,HIP 65109,HIP 65109,HD 115892,GJ 508.1,2MASS J13203582-3642443,1,1,0,0,0,0,0,13h20m36.07s,-36.712081,-36d42m43.5s,18.02,,,2.720,0.020,0.070,0.020,A2V,26.990,0.060
189,HIP 65352,HIP 65352,HD 116442,GJ 3781 A,2MASS J13233916+0243239,1,0,0,1,0,0,0,13h23m39.15s,2.722842,+02d43m22.2s,15.45,0.32,-0.30,7.060,0.010,0.780,0.020,G8/K0V,0.360,0.060
190,HIP 65378 A,HIP 65378 A,HD 116656,GJ 3783 A,2MASS J13235563+5455292,1,1,0,0,0,0,0,13h23m55.42s,54.925415,+54d55m31.5s,26.31,1.10,-1.01,2.220,0.000,0.050,0.000,A2V,83.790,0.120
191,HIP 65477,HIP 65477,HD 116842,GJ 3785,2MASS J13251353+5459165,1,1,0,0,0,0,0,13h25m13.42s,54.987999,+54d59m16.8s,25.06,,,3.980,0.020,0.170,0.010,A5VSB,13.470,0.060
192,HIP 65530,HIP 65530,HD 117043,GJ 511.1,2MASS J13255983+6315406,1,0,0,1,0,0,0,13h26m00.37s,63.260739,+63d15m38.7s,21.17,0.21,-0.21,6.500,0.000,0.740,0.000,G6V,1.060,0.020
193,HD 117207,HIP 65808,HD 117207,,2MASS J13292114-3534154,0,0,1,0,0,1,1,13h29m21.11s,-35.570995,-35d34m15.6s,33.01,0.97,-1.03,7.247,0.010,0.738,0.019,G8 IV/V,,
194,HIP 66249,HIP 66249,HD 118098,GJ 3792,2MASS J13344160-0035450,1,1,0,0,0,0,0,13h34m41.75s,-0.595938,-00d35m45.4s,22.71,,,3.380,0.000,0.110,0.000,A0/1IV,19.740,0.050
195,HIP 67153,HIP 67153,HD 119756,GJ 525.1,2MASS J13454130-3302372,1,1,0,0,0,0,0,13h45m41.57s,-33.043366,-33d02m36.1s,19.40,,,4.230,0.020,0.370,0.020,F3V,6.360,0.060
196,tau Boo,HIP 67275,HD 120136,GJ 527 A,2MASS J13471581+1727249 A,1,1,1,0,1,1,1,13h47m16.04s,17.456774,+17d27m24.4s,15.62,,,4.480,0.020,0.510,0.000,F7V,3.350,0.060
197,HIP 67301,HIP 67301,HD 120315,,2MASS J13473244+4918477,0,1,0,0,0,0,0,13h47m32.44s,49.313267,+49d18m47.8s,30.87,0.69,-0.72,1.860,,-0.190,,B3+ V,,
198,HIP 67927,HIP 67927,HD 121370,GJ 534,2MASS J13544106+1823514,1,1,1,0,0,0,0,13h54m41.12s,18.398587,+18d23m54.9s,11.40,0.12,-0.11,2.680,0.000,0.580,0.000,G0IV,9.600,0.060
199,HIP 68895,HIP 68895,HD 123123,GJ 538.1,2MASS J14062229-2640565,0,1,0,0,0,0,0,14h06m22.30s,-26.682362,-26d40m56.5s,31.08,0.73,-0.76,3.280,,1.120,,K2 IIIb,,
200,HIP 68933,HIP 68933,HD 123139,GJ 539,2MASS J14064097-3622113,1,1,0,0,0,0,0,14h06m41.32s,-36.368696,-36d22m07.3s,18.03,,,2.060,0.010,1.010,0.010,K0IIIB,58.340,0.050
201,HIP 69673 A,HIP 69673 A,HD 124897,GJ 541,2MASS J14153968+1910558 A,1,1,0,0,0,0,0,14h15m40.35s,19.187270,+19d11m14.2s,11.26,0.11,-0.11,-0.050,0.000,1.240,0.010,K2IIIp,235.320,0.100
202,HIP 69701,HIP 69701,HD 124850,GJ 9473,2MASS J14160086-0600016,1,1,0,0,0,0,0,14h16m00.88s,-5.999526,-05d59m58.3s,22.24,,,4.070,0.020,0.510,0.010,F6III,10.090,0.100
203,HIP 69732,HIP 69732,HD 125162,GJ 3837,2MASS J14162308+4605177,0,1,0,0,0,0,0,14h16m23.02s,46.088306,+46d05m17.9s,29.78,0.53,-0.55,4.180,,0.080,,A3 Va {lambda} Boo...,,
204,HIP 70497,HIP 70497,HD 126660,GJ 549 A,2MASS J14251181+5151029,1,1,1,0,1,0,0,14h25m12.02s,51.851714,+51d51m06.2s,14.53,,,4.040,0.020,0.500,0.010,F7V,4.420,0.100
205,HIP 71075,HIP 71075,HD 127762,,2MASS J14320470+3818294,1,1,0,0,0,0,0,14h32m04.76s,38.307883,+38d18m28.4s,26.61,,,3.040,0.000,0.190,0.010,A7IIIvar,35.470,0.050
206,HIP 71284,HIP 71284,HD 128167,GJ 557,2MASS J14344080+2944422,1,1,1,0,1,1,0,14h34m40.69s,29.744807,+29d44m41.3s,15.83,,,4.470,0.000,0.360,0.010,F3Vwvar,3.420,0.050
207,HD 128311,HIP 71395,HD 128311,GJ 3860,2MASS J14360055+0944474,1,0,1,0,0,1,2,14h36m00.44s,9.747125,+09d44m49.7s,16.50,0.17,-0.16,7.490,0.020,0.970,0.000,K0,0.320,0.060
208,alf Cen B,HIP 71681,HD 128621,GJ 559 B,2MASS J14393592-6050069 B,1,1,1,1,0,0,0,14h39m39.39s,-60.839471,-60d50m22.1s,1.34,,,1.350,0.010,0.900,0.020,K0V,0.520,0.050
209,HIP 71683,HIP 71683,HD 128620,GJ 559 A,2MASS J14393592-6050069 A,1,1,1,1,0,0,0,14h39m40.90s,-60.835147,-60d50m06.5s,1.34,,,-0.010,0.030,0.710,0.040,G2.0V,1.610,0.070
210,HIP 71908,HIP 71908,HD 128898,GJ 560 A,2MASS J14423039-6458305,1,1,1,0,0,0,0,14h42m30.69s,-64.974570,-64d58m28.5s,16.57,,,3.160,0.020,0.260,0.010,APSREU(CR),12.530,0.060
211,HIP 71957,HIP 71957,HD 129502,GJ 9491,2MASS J14430363-0539291,1,1,0,0,1,0,0,14h43m03.56s,-5.657429,-05d39m26.7s,18.27,,,3.860,0.020,0.390,0.010,F2V,8.020,0.060
212,HIP 72622,HIP 72622,HD 130841,GJ 564.1,2MASS J14505274-1602302,1,1,0,0,0,0,0,14h50m52.78s,-16.041610,-16d02m29.8s,23.24,,,2.750,0.000,0.150,0.010,A3III/V,36.160,0.050
213,HIP 72659 A,HIP 72659 A,HD 131156 A,GJ 566 A,2MASS J14512328+1906034 A,1,1,1,1,0,1,0,14h51m23.28s,19.100633,+19d06m02.3s,6.78,0.07,-0.07,4.670,0.020,0.720,0.020,G7.0V,0.650,0.060
214,HIP 72848,HIP 72848,HD 131511,GJ 567,2MASS J14532374+1909104,1,0,1,1,0,0,0,14h53m24.04s,19.152271,+19d09m08.2s,11.51,0.12,-0.11,6.000,0.020,0.840,0.010,K2V,0.540,0.100
215,HIP 73165,HIP 73165,HD 132052,GJ 9503,2MASS J14571101-0420473,1,1,0,0,0,0,0,14h57m11.06s,-4.346086,-04d20m45.9s,26.90,0.27,-0.27,4.460,0.020,0.320,0.010,F2V,9.790,0.060
216,HIP 73184,HIP 73184,HD 131977,GJ 570 A,2MASS J14572788-2124526,1,1,1,1,1,1,0,14h57m27.35s,-21.411281,-21d24m40.6s,5.86,0.06,-0.06,5.720,0.010,1.020,0.020,K4.0V,0.290,0.100
